time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-04-30 00:00:00+00:00,24,8,0,0
2026-05-01 00:00:00+00:00,41,11,0,0
2026-05-02 00:00:00+00:00,40,12,0,0
2026-05-03 00:00:00+00:00,26,10,0,0
2026-05-04 00:00:00+00:00,23,7,0,0
2026-05-05 00:00:00+00:00,21,8,0,0
2026-05-06 00:00:00+00:00,12,5,0,0
2026-05-07 00:00:00+00:00,18,7,0,0
2026-05-08 00:00:00+00:00,8,6,1,1
2026-05-09 00:00:00+00:00,17,7,1,1
2026-05-10 00:00:00+00:00,15,6,0,0
2026-05-11 00:00:00+00:00,24,6,0,0
2026-05-12 00:00:00+00:00,20,7,0,0
2026-05-13 00:00:00+00:00,19,7,0,0
